total number of domains,15170
blocked by quad 9,8793
blocked by quad9_noblock,88
blocked by google,31
blocked by cloudflare safe,5852
blocked by cloudflare,7
blocked by opendns,6069
blocked by ultrarecursive,50

 , ,number of domains blocked
source name, total number of domains, quad_9,quad9_noblock,google,cloudflare_safe,cloudflare,opendns,ultrarecursive
.mk,2,0,0,0,1,0,1,0
.ml,19,13,1,0,13,0,12,0
.mm,1,0,0,0,1,0,1,0
.mobi,3,1,0,0,1,0,1,0
.money,2,2,0,0,2,0,2,0
.monster,2,2,0,0,1,0,1,0
.moscow,1,0,0,0,1,0,1,0
.mp,1,0,0,0,1,0,1,0
.ms,1,0,0,0,1,0,1,0
.mt,1,0,0,0,1,0,1,0
.mu,3,1,0,0,1,0,1,0
.mw,1,0,0,0,1,0,1,0
.mx,60,21,0,0,49,0,49,0
.my,13,6,0,0,9,0,9,0
.mz,1,0,0,0,1,0,1,0
.na,1,1,0,0,1,0,1,0
.name,4,0,0,0,2,0,2,0
.net,427,203,0,0,184,0,184,0
.network,2,2,0,0,1,0,1,1
.news,1,1,0,0,0,0,0,0
.ng,16,10,1,2,11,0,11,0
.nl,47,3,0,0,35,0,35,0
.no,4,2,0,0,1,0,1,0
.np,8,5,0,0,7,0,5,0
.nu,6,2,0,1,3,0,4,0
.nz,6,2,0,0,5,0,4,0
.one,3,3,0,0,2,0,1,0
.online,26,16,0,0,12,0,11,0
.org,733,128,1,3,170,2,180,7
.ovh,3,0,0,0,2,0,2,0
.pa,1,1,0,0,0,0,0,0
.page,1,0,0,0,0,0,0,0
.pe,17,6,0,0,13,0,13,0
.ph,8,2,0,0,0,0,0,0
.pk,30,17,0,0,17,0,18,0
.pl,62,27,0,0,30,0,31,0
.pm,2,1,0,0,2,0,2,0
.pr,1,0,0,0,1,0,1,0
.pro,18,9,0,0,7,0,10,1
.ps,3,1,0,0,2,0,2,0
.pt,9,4,0,1,6,0,6,0
.pw,361,316,0,0,2,0,3,0
.py,3,2,0,0,2,0,2,0
.re,2,1,0,0,2,0,2,0
.rent,6,6,0,0,0,0,0,0
.ro,40,16,0,0,21,0,21,1
.rs,17,7,0,0,7,0,7,0
.ru,269,151,2,10,120,1,130,2
.run,4,2,0,0,2,0,2,0
.sa,2,1,0,0,1,0,1,0
.salon,1,1,0,0,1,0,1,0
.se,15,6,0,0,6,0,6,0
.services,1,1,0,0,1,0,1,0
.sg,5,2,0,0,4,0,4,0
.sh,8,8,0,0,1,0,1,0
.shop,6,3,0,0,5,0,5,0
.si,3,0,0,0,2,0,2,0
.site,18,15,0,0,1,0,1,0
.sk,7,2,0,0,3,0,3,0
.sn,2,1,0,0,0,0,0,0
.so,2,0,0,0,0,0,0,0
.social,1,1,0,0,0,0,0,0
.solutions,1,0,0,0,1,0,1,0
.space,73,63,0,0,3,0,3,0
.srl,1,1,0,0,1,0,1,1
.store,5,1,0,0,5,0,5,0
.su,6,1,0,0,4,0,4,0
.sv,1,0,0,0,1,0,1,0
.team,1,0,0,0,0,0,0,0
.tech,20,9,0,0,9,0,9,0
.tg,1,0,0,0,1,0,1,0
.th,19,5,2,0,16,0,16,3
.tk,37,25,0,0,32,0,28,0
.tl,3,2,0,0,0,0,0,0
.tn,3,2,0,0,2,0,2,0
.to,10,3,0,0,5,0,5,0
.today,4,2,0,0,3,0,2,0
.tools,1,1,0,0,0,0,0,0
.top,84,74,1,0,51,0,51,1
.tr,26,8,0,0,20,0,19,0
.tv,14,3,0,0,8,0,8,0
.tw,12,4,0,0,7,0,8,0
.tz,10,4,1,0,9,0,7,0
.ua,71,20,1,0,57,0,57,0
.ug,10,8,0,0,7,0,8,0
.uk,191,128,0,0,92,0,83,0
.us,83,66,0,0,17,0,17,0
.uy,1,0,0,0,0,0,1,0
.uz,8,2,0,0,4,0,4,0
.ve,3,1,0,0,2,0,2,0
.vg,33,2,0,0,0,0,0,0
.vip,4,3,0,0,4,0,4,0
.vn,46,12,2,0,39,0,40,1
.vu,3,3,0,0,0,0,2,0
.wang,5,0,0,0,2,0,4,0
.website,9,6,0,0,5,0,5,0
.work,5,3,0,0,4,0,4,0
.works,1,1,0,0,1,0,1,0
.world,2,2,0,0,1,0,1,0
.ws,60,3,0,0,1,0,2,0
.xyz,170,154,1,1,14,1,13,1
.za,37,8,1,0,29,0,30,0
.zm,2,1,0,0,1,0,1,0
.zw,7,4,0,0,4,0,4,0

Additional queries:
average response time of quad_9 24
,[(Decimal('0.21933956144129420040'),)]
average response time of quad9_noblock 25
,[(Decimal('0.17559144731805129084'),)]
average response time of google 26
,[(Decimal('0.14960993006472688377'),)]
average response time of cloudflare_safe 27
,[(Decimal('0.18051980895265714824'),)]
average response time of cloudflare 28
,[(Decimal('0.09370828636279512232'),)]
average response time of opendns 29
,[(Decimal('0.24833571477622318208'),)]
average response time of ultrarecursive 30
,[(Decimal('0.18206383126505313812'),)]
Number of domains which aren't resolved by any 31
,[(1,)]
total number of domains overall
,[(1810255,)]
Total number of existing domains added today;
,[(0,)]
domains which dont exist count
,[(61506,)]
