total number of domains,13131,,,,,,,
blocked by quad 9,6691,,,,,,,
blocked by quad9_noblock,176,,,,,,,
blocked by google,32,,,,,,,
blocked by cloudflare safe,9615,,,,,,,
blocked by cloudflare,9,,,,,,,
blocked by opendns,9627,,,,,,,
blocked by ultrarecursive,125,,,,,,,
,,,,,,,,
 , ,number of domains blocked,,,,,,
source name, total number of domains, quad_9,quad9_noblock,google,cloudflare_safe,cloudflare,opendns,ultrarecursive
.md,6,2,0,0,6,0,6,0
.me,195,120,9,0,180,0,180,0
.media,1,1,0,0,1,0,1,0
.mk,2,1,0,0,2,0,2,0
.ml,23,16,0,0,20,0,20,0
.mm,1,0,0,0,1,0,1,0
.mobi,2,0,0,0,2,0,2,0
.money,1,1,0,0,1,0,1,0
.monster,1,1,0,0,1,0,1,0
.moscow,1,0,0,0,1,0,1,0
.mp,1,0,0,0,1,0,1,0
.ms,1,0,0,0,1,0,1,0
.mt,1,1,0,0,1,0,1,0
.mu,3,1,0,0,3,0,3,0
.mw,1,0,0,0,1,0,1,0
.mx,60,23,0,0,58,0,58,0
.my,11,3,0,0,11,0,11,0
.mz,1,0,0,0,1,0,1,0
.na,1,1,0,0,1,0,1,0
.name,4,0,0,0,4,0,4,0
.net,463,234,1,0,300,0,303,0
.network,1,1,0,0,1,0,1,0
.ng,17,9,0,0,13,0,13,0
.nl,45,4,0,0,43,0,43,0
.no,4,2,0,0,2,0,2,0
.np,12,8,0,0,11,0,11,0
.nu,10,5,0,1,9,0,9,1
.nz,6,2,0,0,6,0,6,0
.one,3,3,0,0,1,0,1,0
.online,27,15,0,0,25,0,25,0
.org,741,140,1,3,709,2,709,4
.ovh,3,0,0,0,2,0,2,0
.pe,18,7,0,0,17,0,17,0
.ph,9,2,0,0,0,0,0,0
.pk,33,17,0,0,30,0,30,0
.pl,63,33,0,0,41,0,41,0
.pm,1,0,0,0,1,0,1,0
.pr,1,0,0,0,1,0,1,0
.pro,18,11,0,0,14,0,14,0
.ps,2,0,0,0,2,0,2,0
.pt,9,5,1,0,7,0,7,0
.pw,425,364,31,0,422,0,422,0
.py,2,1,0,0,2,0,2,0
.re,2,1,0,0,2,0,2,0
.rent,7,7,1,0,7,0,7,0
.ro,41,15,1,0,39,0,39,0
.rs,16,6,0,0,12,0,12,0
.ru,250,140,0,9,155,1,155,0
.run,3,1,0,0,2,0,2,0
.sa,1,0,0,0,1,0,1,0
.salon,1,1,0,0,1,0,1,0
.sc,1,1,0,0,1,0,1,0
.sd,1,0,0,0,1,0,1,0
.se,17,8,0,0,13,0,13,0
.services,2,2,0,0,2,0,2,0
.sg,7,3,1,0,6,0,6,0
.sh,8,8,0,0,1,0,1,0
.shop,5,2,0,0,5,0,5,0
.si,2,0,0,0,2,0,2,0
.site,21,18,0,0,15,0,15,0
.sk,7,4,0,0,5,0,5,0
.sn,1,0,0,0,1,0,1,0
.so,2,1,0,0,2,0,2,0
.solutions,1,0,0,0,1,0,1,0
.space,86,78,3,0,85,0,85,0
.store,4,2,0,0,4,0,4,0
.su,22,18,0,0,5,0,5,0
.supplies,1,1,0,0,1,0,1,0
.sv,1,0,0,0,1,0,1,0
.team,1,0,0,0,1,0,1,0
.tech,26,9,0,0,26,0,26,0
.tf,2,1,0,0,2,0,2,0
.tg,1,0,0,0,1,0,1,0
.th,17,6,1,0,16,0,16,0
.tk,43,32,1,0,43,0,43,0
.tl,2,2,0,0,0,0,0,0
.tn,1,0,0,0,1,0,1,0
.to,10,4,0,0,9,0,9,0
.today,4,2,0,0,4,0,4,0
.tools,1,1,0,0,0,0,0,0
.top,66,55,1,0,50,0,51,0
.tr,26,5,0,1,26,1,26,0
.trade,2,2,0,0,2,0,2,0
.tv,13,2,0,0,12,0,12,0
.tw,13,5,0,0,10,0,10,0
.tz,8,2,0,0,8,0,8,0
.ua,68,16,1,1,59,0,59,0
.ug,11,10,0,0,11,0,11,0
.uk,206,136,3,0,193,0,193,0
.us,82,64,0,0,20,0,20,0
.uy,1,0,0,0,1,0,1,0
.uz,7,0,0,0,7,0,7,0
.vc,1,0,0,0,0,0,0,0
.ve,2,0,0,0,2,0,2,0
.vg,36,2,0,0,2,0,2,0
.vip,4,3,0,0,3,0,3,0
.vn,45,14,3,0,44,0,44,2
.vu,3,3,0,0,0,0,0,0
.wang,5,0,0,0,2,0,2,0
.website,10,6,0,0,10,0,10,0
.work,5,3,0,0,4,0,4,0
.works,1,1,0,0,1,0,1,0
.world,2,2,0,0,1,0,1,0
.ws,70,2,1,0,2,0,3,0
.xyz,189,170,10,0,188,0,188,0
.za,38,9,1,0,36,0,36,1
.zm,1,0,0,0,1,0,1,0
.zw,7,4,0,0,7,0,7,0
